科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
a,2010,1,1,102009,4,エ,a1ji201001.svg,a1ji201001.pdf,a1ji201001.png
a,2010,2,2,101002,"5,4","ア,エ",a1ji201002.svg,a1ji201002.pdf,a1ji201002.png
a,2010,3,2,102001,"5,4","オ,ア",a1ji201003.svg,a1ji201003.pdf,a1ji201003.png
a,2010,4,1,105001,5,オ,a1ji201004.svg,a1ji201004.pdf,a1ji201004.png
a,2010,5,1,106002,5,イ,a1ji201005.svg,a1ji201005.pdf,a1ji201005.png
a,2010,6,2,106002,"5,5","オ,ア",a1ji201006.svg,a1ji201006.pdf,a1ji201006.png
a,2010,7,1,106001,4,エ,a1ji201007.svg,a1ji201007.pdf,a1ji201007.png
a,2010,8,2,103001,"4,4","ウ,ウ",a1ji201008.svg,a1ji201008.pdf,a1ji201008.png
a,2010,9,1,199001,4,エ,a1ji201009.svg,a1ji201009.pdf,a1ji201009.png
a,2010,10,1,106002,4,ア,a1ji201010.svg,a1ji201010.pdf,a1ji201010.png
a,2010,11,1,107004,4,エ,a1ji201011.svg,a1ji201011.pdf,a1ji201011.png
a,2010,12,1,110002,4,ウ,a1ji201012.svg,a1ji201012.pdf,a1ji201012.png
a,2010,13,1,103006,4,ア,a1ji201013.svg,a1ji201013.pdf,a1ji201013.png
a,2010,14,1,107004,4,エ,a1ji201014.svg,a1ji201014.pdf,a1ji201014.png
a,2010,15,1,106004,5,ア,a1ji201015.svg,a1ji201015.pdf,a1ji201015.png
a,2010,16,1,106004,5,ア,a1ji201016.svg,a1ji201016.pdf,a1ji201016.png
a,2010,17,1,102008,4,イ,a1ji201017.svg,a1ji201017.pdf,a1ji201017.png
a,2010,18,1,109001,4,イ,a1ji201018.svg,a1ji201018.pdf,a1ji201018.png
a,2010,19,1,108001,4,イ,a1ji201019.svg,a1ji201019.pdf,a1ji201019.png
a,2010,20,1,109002,5,ウ,a1ji201020.svg,a1ji201020.pdf,a1ji201020.png
a,2010,21,1,199001,4,イ,a1ji201021.svg,a1ji201021.pdf,a1ji201021.png
