科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
財務・会計,2010,1,1,201002,5,ア,b1ji201001.svg,b1ji201001.svg,b1ji201001.svg
財務・会計,2010,2,3,201003,"5,4,5","ア,ア,ア",b1ji201002.svg,b1ji201002.svg,b1ji201002.svg
財務・会計,2010,3,1,201002,5,ア,b1ji201003.svg,b1ji201003.svg,b1ji201003.svg
財務・会計,2010,4,1,201002,5,ア,b1ji201004.svg,b1ji201004.svg,b1ji201004.svg
財務・会計,2010,5,1,202002,5,ア,b1ji201005.svg,b1ji201005.svg,b1ji201005.svg
財務・会計,2010,6,1,202003,4,ア,b1ji201006.svg,b1ji201006.svg,b1ji201006.svg
財務・会計,2010,7,1,203001,4,ア,b1ji201007.svg,b1ji201007.svg,b1ji201007.svg
財務・会計,2010,8,1,204001,4,ア,b1ji201008.svg,b1ji201008.svg,b1ji201008.svg
財務・会計,2010,9,1,204002,4,ア,b1ji201009.svg,b1ji201009.svg,b1ji201009.svg
財務・会計,2010,10,1,205001,5,ア,b1ji201010.svg,b1ji201010.svg,b1ji201010.svg
財務・会計,2010,11,1,205002,4,ア,b1ji201011.svg,b1ji201011.svg,b1ji201011.svg
財務・会計,2010,12,1,206002,4,ア,b1ji201012.svg,b1ji201012.svg,b1ji201012.svg
財務・会計,2010,13,1,207001,4,ア,b1ji201013.svg,b1ji201013.svg,b1ji201013.svg
財務・会計,2010,14,2,208001,"4,4","ア,ア",b1ji201014.svg,b1ji201014.svg,b1ji201014.svg
財務・会計,2010,15,1,209001,4,ア,b1ji201015.svg,b1ji201015.svg,b1ji201015.svg
財務・会計,2010,16,1,210001,4,ア,b1ji201016.svg,b1ji201016.svg,b1ji201016.svg
財務・会計,2010,17,2,210002,"4,4","ア,ア",b1ji201017.svg,b1ji201017.svg,b1ji201017.svg
財務・会計,2010,18,2,212003,"4,4","ア,ア",b1ji201018.svg,b1ji201018.svg,b1ji201018.svg
財務・会計,2010,19,1,208002,5,ア,b1ji201019.svg,b1ji201019.svg,b1ji201019.svg
財務・会計,2010,20,1,202004,4,ア,b1ji201020.svg,b1ji201020.svg,b1ji201020.svg
