問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
1,1,201001,4,ア,b1ji201201.svg,b1ji201201.pdf,b1ji201201.png
2,1,201002,4,イ,b1ji201202.svg,b1ji201201.pdf,b1ji201201.png
3,1,201001,4,ウ,b1ji201203.svg,b1ji201201.pdf,b1ji201201.png
4,1,202003,4,エ,b1ji201204.svg,b1ji201201.pdf,b1ji201201.png
5,1,202004,4,ア,b1ji201205.svg,b1ji201201.pdf,b1ji201201.png
6,1,203001,5,イ,b1ji201206.svg,b1ji201201.pdf,b1ji201201.png
7,1,203002,5,ウ,b1ji201207.svg,b1ji201201.pdf,b1ji201201.png
8,1,204003,5,エ,b1ji201208.svg,b1ji201201.pdf,b1ji201201.png
9,1,205001,4,ア,b1ji201209.svg,b1ji201201.pdf,b1ji201201.png
10,2,204001,"4,4","イ,ウ",b1ji201210.svg,b1ji201201.pdf,b1ji201201.png
11,1,204002,5,ウ,b1ji201211.svg,b1ji201201.pdf,b1ji201201.png
12,1,205003,4,エ,b1ji201212.svg,b1ji201201.pdf,b1ji201201.png
13,1,206001,5,ア,b1ji201213.svg,b1ji201201.pdf,b1ji201201.png
14,1,206002,4,イ,b1ji201214.svg,b1ji201201.pdf,b1ji201201.png
15,1,207001,4,ウ,b1ji201215.svg,b1ji201201.pdf,b1ji201201.png
16,1,208001,4,エ,b1ji201216.svg,b1ji201201.pdf,b1ji201201.png
17,2,208003,"4,5","ア,エ",b1ji201217.svg,b1ji201201.pdf,b1ji201201.png
18,1,209002,5,イ,b1ji201218.svg,b1ji201201.pdf,b1ji201201.png
19,1,210001,5,ウ,b1ji201219.svg,b1ji201201.pdf,b1ji201201.png
20,2,211001,"5,5","エ,オ",b1ji201220.svg,b1ji201201.pdf,b1ji201201.png
21,1,212002,4,ア,b1ji201221.svg,b1ji201201.pdf,b1ji201201.png
22,1,212003,4,イ,b1ji201222.svg,b1ji201201.pdf,b1ji201201.png
