科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
c,2010,1,1,302006,5,オ,c1ji201001.svg,c1ji201001.pdf,c1ji201001.png
c,2010,2,1,305003,5,エ,c1ji201002.svg,c1ji201002.pdf,c1ji201002.png
c,2010,3,1,305006,5,ウ,c1ji201003.svg,c1ji201003.pdf,c1ji201003.png
c,2010,4,1,307002,5,オ,c1ji201004.svg,c1ji201004.pdf,c1ji201004.png
c,2010,5,1,309001,4,ア,c1ji201005.svg,c1ji201005.pdf,c1ji201005.png
c,2010,6,1,307001,5,エ,c1ji201006.svg,c1ji201006.pdf,c1ji201006.png
c,2010,7,1,307001,4,ウ,c1ji201007.svg,c1ji201007.pdf,c1ji201007.png
c,2010,8,2,307003,"4,5","ウ,ウ",c1ji201008.svg,c1ji201008.pdf,c1ji201008.png
c,2010,9,1,305002,5,ウ,c1ji201009.svg,c1ji201009.pdf,c1ji201009.png
c,2010,10,1,305001,5,ウ,c1ji201010.svg,c1ji201010.pdf,c1ji201010.png
c,2010,11,3,310001,"4,5,5","ウ,エ,イ",c1ji201011.svg,c1ji201011.pdf,c1ji201011.png
c,2010,12,1,312005,4,ア,c1ji201012.svg,c1ji201012.pdf,c1ji201012.png
c,2010,13,3,312001,"5,5,5","エ,オ,オ",c1ji201013.svg,c1ji201013.pdf,c1ji201013.png
c,2010,14,1,312003,5,オ,c1ji201014.svg,c1ji201014.pdf,c1ji201014.png
c,2010,15,1,302005,5,オ,c1ji201015.svg,c1ji201015.pdf,c1ji201015.png
c,2010,16,2,312009,"5,5","ア,オ",c1ji201016.svg,c1ji201016.pdf,c1ji201016.png
c,2010,17,1,312007,4,エ,c1ji201017.svg,c1ji201017.pdf,c1ji201017.png
c,2010,18,1,313001,5,ア,c1ji201018.svg,c1ji201018.pdf,c1ji201018.png
c,2010,19,1,313001,4,イ,c1ji201019.svg,c1ji201019.pdf,c1ji201019.png
c,2010,20,1,313001,4,エ,c1ji201020.svg,c1ji201020.pdf,c1ji201020.png
c,2010,21,1,313001,4,ウ,c1ji201021.svg,c1ji201021.pdf,c1ji201021.png
c,2010,22,1,313001,4,ア,c1ji201022.svg,c1ji201022.pdf,c1ji201022.png
c,2010,23,1,316002,5,エ,c1ji201023.svg,c1ji201023.pdf,c1ji201023.png
c,2010,24,1,320002,5,エ,c1ji201024.svg,c1ji201024.pdf,c1ji201024.png
c,2010,25,1,321002,5,ウ,c1ji201025.svg,c1ji201025.pdf,c1ji201025.png
c,2010,26,1,322001,5,オ,c1ji201026.svg,c1ji201026.pdf,c1ji201026.png
c,2010,27,2,317001,"5,5","ア,オ",c1ji201027.svg,c1ji201027.pdf,c1ji201027.png
c,2010,28,3,315001,"5,5,4","ウ,ウ,ア",c1ji201028.svg,c1ji201028.pdf,c1ji201028.png
c,2010,29,3,317004,"5,5,5","ウ,エ,ウ",c1ji201029.svg,c1ji201029.pdf,c1ji201029.png
c,2010,30,1,318003,5,ア,c1ji201030.svg,c1ji201030.pdf,c1ji201030.png
