科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
d,2010,1,1,401002,4,エ,d1ji201001.svg,d1ji201001.pdf,d1ji201001.png
d,2010,2,1,401002,4,ウ,d1ji201002.svg,d1ji201002.pdf,d1ji201002.png
d,2010,3,1,401002,4,イ,d1ji201003.svg,d1ji201003.pdf,d1ji201003.png
d,2010,4,1,402002,4,ア,d1ji201004.svg,d1ji201004.pdf,d1ji201004.png
d,2010,5,1,402003,4,ア,d1ji201005.svg,d1ji201005.pdf,d1ji201005.png
d,2010,6,1,402006,4,エ,d1ji201006.svg,d1ji201006.pdf,d1ji201006.png
d,2010,7,1,402009,4,イ,d1ji201007.svg,d1ji201007.pdf,d1ji201007.png
d,2010,8,1,402009,4,ウ,d1ji201008.svg,d1ji201008.pdf,d1ji201008.png
d,2010,9,1,402011,4,イ,d1ji201009.svg,d1ji201009.pdf,d1ji201009.png
d,2010,10,1,402015,4,ウ,d1ji201010.svg,d1ji201010.pdf,d1ji201010.png
d,2010,11,1,403002,4,ウ,d1ji201011.svg,d1ji201011.pdf,d1ji201011.png
d,2010,12,1,403003,4,エ,d1ji201012.svg,d1ji201012.pdf,d1ji201012.png
d,2010,13,1,403002,4,エ,d1ji201013.svg,d1ji201013.pdf,d1ji201013.png
d,2010,14,1,403002,4,ア,d1ji201014.svg,d1ji201014.pdf,d1ji201014.png
d,2010,15,1,403002,4,イ,d1ji201015.svg,d1ji201015.pdf,d1ji201015.png
d,2010,16,1,403003,4,エ,d1ji201016.svg,d1ji201016.pdf,d1ji201016.png
d,2010,17,1,403002,4,ア,d1ji201017.svg,d1ji201017.pdf,d1ji201017.png
d,2010,18,1,402015,4,エ,d1ji201018.svg,d1ji201018.pdf,d1ji201018.png
d,2010,19,1,403005,4,イ,d1ji201019.svg,d1ji201019.pdf,d1ji201019.png
d,2010,20,1,403006,4,エ,d1ji201020.svg,d1ji201020.pdf,d1ji201020.png
d,2010,21,1,405001,4,イ,d1ji201021.svg,d1ji201021.pdf,d1ji201021.png
d,2010,22,1,405004,4,イ,d1ji201022.svg,d1ji201022.pdf,d1ji201022.png
d,2010,23,1,405004,4,ウ,d1ji201023.svg,d1ji201023.pdf,d1ji201023.png
d,2010,24,1,406004,4,イ,d1ji201024.svg,d1ji201024.pdf,d1ji201024.png
d,2010,25,1,406004,4,ア,d1ji201025.svg,d1ji201025.pdf,d1ji201025.png
d,2010,26,1,406006,4,ウ,d1ji201026.svg,d1ji201026.pdf,d1ji201026.png
d,2010,27,1,406005,4,ウ,d1ji201027.svg,d1ji201027.pdf,d1ji201027.png
d,2010,28,1,406005,5,エ,d1ji201028.svg,d1ji201028.pdf,d1ji201028.png
d,2010,29,1,406005,5,ウ,d1ji201029.svg,d1ji201029.pdf,d1ji201029.png
d,2010,30,1,407003,4,ウ,d1ji201030.svg,d1ji201030.pdf,d1ji201030.png
d,2010,31,1,407001,4,ア,d1ji201031.svg,d1ji201031.pdf,d1ji201031.png
d,2010,32,1,407003,4,イ,d1ji201032.svg,d1ji201032.pdf,d1ji201032.png
d,2010,33,1,407001,4,エ,d1ji201033.svg,d1ji201033.pdf,d1ji201033.png
d,2010,34,1,407001,4,ア,d1ji201034.svg,d1ji201034.pdf,d1ji201034.png
d,2010,35,1,408003,4,ウ,d1ji201035.svg,d1ji201035.pdf,d1ji201035.png
d,2010,36,1,408003,4,エ,d1ji201036.svg,d1ji201036.pdf,d1ji201036.png
d,2010,37,1,408001,4,ウ,d1ji201037.svg,d1ji201037.pdf,d1ji201037.png
d,2010,38,1,408003,4,イ,d1ji201038.svg,d1ji201038.pdf,d1ji201038.png
d,2010,39,1,408003,4,ア,d1ji201039.svg,d1ji201039.pdf,d1ji201039.png
d,2010,40,1,408001,5,イ,d1ji201040.svg,d1ji201040.pdf,d1ji201040.png
