科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png,配点
d,2012,1,1,403003,4,イ,d1ji201201.svg,d1ji201201.pdf,d1ji201201.png,2
d,2012,2,1,401001,4,イ,d1ji201202.svg,d1ji201202.pdf,d1ji201202.png,3
d,2012,3,1,402001,4,ア,d1ji201203.svg,d1ji201203.pdf,d1ji201203.png,2
d,2012,4,1,402003,4,ア,d1ji201204.svg,d1ji201204.pdf,d1ji201204.png,3
d,2012,5,1,402004,4,イ,d1ji201205.svg,d1ji201205.pdf,d1ji201205.png,3
d,2012,6,1,402006,4,ウ,d1ji201206.svg,d1ji201206.pdf,d1ji201206.png,3
d,2012,7,1,402011,4,ウ,d1ji201207.svg,d1ji201207.pdf,d1ji201207.png,3
d,2012,8,1,403002,4,イ,d1ji201208.svg,d1ji201208.pdf,d1ji201208.png,2
d,2012,9,1,402001,4,イ,d1ji201209.svg,d1ji201209.pdf,d1ji201209.png,2
d,2012,10,1,402016,4,ウ,d1ji201210.svg,d1ji201210.pdf,d1ji201210.png,2
d,2012,11,1,402016,4,ウ,d1ji201211.svg,d1ji201211.pdf,d1ji201211.png,2
d,2012,12,1,403001,4,ア,d1ji201212.svg,d1ji201212.pdf,d1ji201212.png,2
d,2012,13,1,402012,4,ア,d1ji201213.svg,d1ji201213.pdf,d1ji201213.png,3
d,2012,14,1,402014,4,ウ,d1ji201214.svg,d1ji201214.pdf,d1ji201214.png,2
d,2012,15,1,402003,4,イ,d1ji201215.svg,d1ji201215.pdf,d1ji201215.png,2
d,2012,16,1,403003,4,ウ,d1ji201216.svg,d1ji201216.pdf,d1ji201216.png,2
d,2012,17,1,402015,4,エ,d1ji201217.svg,d1ji201217.pdf,d1ji201217.png,3
d,2012,18,1,403004,4,ウ,d1ji201218.svg,d1ji201218.pdf,d1ji201218.png,2
d,2012,19,1,403005,4,イ,d1ji201219.svg,d1ji201219.pdf,d1ji201219.png,2
d,2012,20,1,403006,4,イ,d1ji201220.svg,d1ji201220.pdf,d1ji201220.png,2
d,2012,21,1,403005,4,エ,d1ji201221.svg,d1ji201221.pdf,d1ji201221.png,3
d,2012,22,1,405001,5,イ,d1ji201222.svg,d1ji201222.pdf,d1ji201222.png,3
d,2012,23,1,405001,5,イ,d1ji201223.svg,d1ji201223.pdf,d1ji201223.png,2
d,2012,24,1,405001,4,イ,d1ji201224.svg,d1ji201224.pdf,d1ji201224.png,2
d,2012,25,1,405003,5,エ,d1ji201225.svg,d1ji201225.pdf,d1ji201225.png,2
d,2012,26,1,406005,5,ウ,d1ji201226.svg,d1ji201226.pdf,d1ji201226.png,3
d,2012,27,1,406005,5,イ,d1ji201227.svg,d1ji201227.pdf,d1ji201227.png,3
d,2012,28,1,406005,5,オ,d1ji201228.svg,d1ji201228.pdf,d1ji201228.png,3
d,2012,29,1,406004,5,ア,d1ji201229.svg,d1ji201229.pdf,d1ji201229.png,2
d,2012,30,1,406002,4,イ,d1ji201230.svg,d1ji201230.pdf,d1ji201230.png,2
d,2012,31,1,406004,4,ウ,d1ji201231.svg,d1ji201231.pdf,d1ji201231.png,2
d,2012,32,1,407003,4,イ,d1ji201232.svg,d1ji201232.pdf,d1ji201232.png,2
d,2012,33,1,407001,4,イ,d1ji201233.svg,d1ji201233.pdf,d1ji201233.png,2
d,2012,34,1,408003,4,エ,d1ji201234.svg,d1ji201234.pdf,d1ji201234.png,2
d,2012,35,1,408003,4,エ,d1ji201235.svg,d1ji201235.pdf,d1ji201235.png,2
d,2012,36,1,407001,4,イ,d1ji201236.svg,d1ji201236.pdf,d1ji201236.png,2
d,2012,37,1,407003,4,イ,d1ji201237.svg,d1ji201237.pdf,d1ji201237.png,3
d,2012,38,1,407002,4,イ,d1ji201238.svg,d1ji201238.pdf,d1ji201238.png,2
d,2012,39,1,408001,4,イ,d1ji201239.svg,d1ji201239.pdf,d1ji201239.png,3
d,2012,40,1,408001,4,ウ,d1ji201240.svg,d1ji201240.pdf,d1ji201240.png,2
d,2012,41,1,409001,4,エ,d1ji201241.svg,d1ji201241.pdf,d1ji201241.png,2
d,2012,42,1,409001,5,エ,d1ji201242.svg,d1ji201242.pdf,d1ji201242.png,2
d,2012,43,1,408003,5,ウ,d1ji201243.svg,d1ji201243.pdf,d1ji201243.png,2
