科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
e,2011,1,1,501002,4,エ,e1ji201101.svg,e1ji201101.pdf,e1ji201101.png
e,2011,2,1,503001,4,ウ,e1ji201102.svg,e1ji201102.pdf,e1ji201102.png
e,2011,3,1,503001,4,ウ,e1ji201103.svg,e1ji201103.pdf,e1ji201103.png
e,2011,4,1,504001,4,エ,e1ji201104.svg,e1ji201104.pdf,e1ji201104.png
e,2011,5,1,511002,4,エ,e1ji201105.svg,e1ji201105.pdf,e1ji201105.png
e,2011,6,2,511001,"4,4","イ,エ",e1ji201106.svg,e1ji201106.pdf,e1ji201106.png
e,2011,7,1,505001,4,イ,e1ji201107.svg,e1ji201107.pdf,e1ji201107.png
e,2011,8,1,505004,4,ウ,e1ji201108.svg,e1ji201108.pdf,e1ji201108.png
e,2011,9,1,505004,4,ウ,e1ji201109.svg,e1ji201109.pdf,e1ji201109.png
e,2011,10,1,514001,4,ア,e1ji201110.svg,e1ji201110.pdf,e1ji201110.png
e,2011,11,1,509003,4,ア,e1ji201111.svg,e1ji201111.pdf,e1ji201111.png
e,2011,12,1,510002,4,ア,e1ji201112.svg,e1ji201112.pdf,e1ji201112.png
e,2011,13,1,513001,4,エ,e1ji201113.svg,e1ji201113.pdf,e1ji201113.png
e,2011,14,3,507003,"4,4,4","イ,エ,エ",e1ji201114.svg,e1ji201114.pdf,e1ji201114.png
e,2011,15,1,508004,4,イ,e1ji201115.svg,e1ji201115.pdf,e1ji201115.png
e,2011,16,1,518001,4,イ,e1ji201116.svg,e1ji201116.pdf,e1ji201116.png
e,2011,17,1,511001,4,ウ,e1ji201117.svg,e1ji201117.pdf,e1ji201117.png
e,2011,18,2,511002,"4,4","ウ,ウ",e1ji201118.svg,e1ji201118.pdf,e1ji201118.png
e,2011,19,1,519003,"4,4","イ,ウ",e1ji201119.svg,e1ji201119.pdf,e1ji201119.png
