科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
f,2010,1,1,601001,4,ア,f1ji201001.svg,f1ji201001.pdf,f1ji201001.png
f,2010,2,1,601001,4,ウ,f1ji201002.svg,f1ji201002.pdf,f1ji201002.png
f,2010,3,1,601001,4,ア,f1ji201003.svg,f1ji201003.pdf,f1ji201003.png
f,2010,4,1,601002,4,ウ,f1ji201004.svg,f1ji201004.pdf,f1ji201004.png
f,2010,5,1,601002,4,ア,f1ji201005.svg,f1ji201005.pdf,f1ji201005.png
f,2010,6,1,602002,4,イ,f1ji201006.svg,f1ji201006.pdf,f1ji201006.png
f,2010,7,1,604002,4,エ,f1ji201007.svg,f1ji201007.pdf,f1ji201007.png
f,2010,8,1,604005,4,イ,f1ji201008.svg,f1ji201008.pdf,f1ji201008.png
f,2010,9,1,602001,4,イ,f1ji201009.svg,f1ji201009.pdf,f1ji201009.png
f,2010,10,1,602004,4,ウ,f1ji201010.svg,f1ji201010.pdf,f1ji201010.png
f,2010,11,1,602005,4,ウ,f1ji201011.svg,f1ji201011.pdf,f1ji201011.png
f,2010,12,1,603002,4,イ,f1ji201012.svg,f1ji201012.pdf,f1ji201012.png
f,2010,13,1,603003,4,ウ,f1ji201013.svg,f1ji201013.pdf,f1ji201013.png
f,2010,14,1,608001,4,イ,f1ji201014.svg,f1ji201014.pdf,f1ji201014.png
f,2010,15,1,608002,4,ウ,f1ji201015.svg,f1ji201015.pdf,f1ji201015.png
f,2010,16,1,609002,4,イ,f1ji201016.svg,f1ji201016.pdf,f1ji201016.png
f,2010,17,1,609002,4,ウ,f1ji201017.svg,f1ji201017.pdf,f1ji201017.png
f,2010,18,1,608001,4,ア,f1ji201018.svg,f1ji201018.pdf,f1ji201018.png
f,2010,19,1,610001,4,ウ,f1ji201019.svg,f1ji201019.pdf,f1ji201019.png
f,2010,20,1,607002,4,イ,f1ji201020.svg,f1ji201020.pdf,f1ji201020.png
f,2010,21,1,611001,4,ウ,f1ji201021.svg,f1ji201021.pdf,f1ji201021.png
f,2010,22,1,608001,4,イ,f1ji201022.svg,f1ji201022.pdf,f1ji201022.png
f,2010,23,1,609001,4,ウ,f1ji201023.svg,f1ji201023.pdf,f1ji201023.png
f,2010,24,1,612002,4,イ,f1ji201024.svg,f1ji201024.pdf,f1ji201024.png
f,2010,25,1,612002,4,エ,f1ji201025.svg,f1ji201025.pdf,f1ji201025.png
