科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
g,2010,1,1,701001,4,ア,g1ji201001.svg,g1ji201001.pdf,g1ji201001.png
g,2010,2,3,701001,"5,5,4","イ,イ,イ",g1ji201002.svg,g1ji201002.pdf,g1ji201002.png
g,2010,3,3,701002,"5,4,5","イ,ウ,ア",g1ji201003.svg,g1ji201003.pdf,g1ji201003.png
g,2010,4,1,701004,5,ウ,g1ji201004.svg,g1ji201004.pdf,g1ji201004.png
g,2010,5,1,702003,5,ア,g1ji201005.svg,g1ji201005.pdf,g1ji201005.png
g,2010,6,1,702005,5,ア,g1ji201006.svg,g1ji201006.pdf,g1ji201006.png
g,2010,7,1,702002,4,ウ,g1ji201007.svg,g1ji201007.pdf,g1ji201007.png
g,2010,8,2,702005,"4,4","ア,ウ",g1ji201008.svg,g1ji201008.pdf,g1ji201008.png
g,2010,9,2,702005,"5,5","ウ,ウ",g1ji201009.svg,g1ji201009.pdf,g1ji201009.png
g,2010,10,1,702001,5,ウ,g1ji201010.svg,g1ji201010.pdf,g1ji201010.png
g,2010,11,1,702001,4,イ,g1ji201011.svg,g1ji201011.pdf,g1ji201011.png
g,2010,12,1,702005,4,ウ,g1ji201012.svg,g1ji201012.pdf,g1ji201012.png
g,2010,13,1,702005,5,イ,g1ji201013.svg,g1ji201013.pdf,g1ji201013.png
g,2010,14,2,702003,"4,4","ア,エ",g1ji201014.svg,g1ji201014.pdf,g1ji201014.png
g,2010,15,1,703001,4,ウ,g1ji201015.svg,g1ji201015.pdf,g1ji201015.png
g,2010,16,2,703002,"4,4","イ,エ",g1ji201016.svg,g1ji201016.pdf,g1ji201016.png
g,2010,17,2,703002,"4,4","エ,ア",g1ji201017.svg,g1ji201017.pdf,g1ji201017.png
g,2010,18,2,703002,"4,4","イ,エ",g1ji201018.svg,g1ji201018.pdf,g1ji201018.png
g,2010,19,2,703002,"4,4","エ,ア",g1ji201019.svg,g1ji201019.pdf,g1ji201019.png
g,2010,20,1,703002,4,ウ,g1ji201020.svg,g1ji201020.pdf,g1ji201020.png
g,2010,21,1,703002,4,イ,g1ji201021.svg,g1ji201021.pdf,g1ji201021.png
g,2010,22,2,703002,"4,4","ウ,イ",g1ji201022.svg,g1ji201022.pdf,g1ji201022.png
g,2010,23,2,703002,"4,4","イ,イ",g1ji201023.svg,g1ji201023.pdf,g1ji201023.png
g,2010,24,2,703002,"4,4","エ,ア",g1ji201024.svg,g1ji201024.pdf,g1ji201024.png
g,2010,25,2,703005,"4,4","ウ,エ",g1ji201025.svg,g1ji201025.pdf,g1ji201025.png
g,2010,26,1,703002,4,イ,g1ji201026.svg,g1ji201026.pdf,g1ji201026.png
g,2010,27,1,703002,4,ウ,g1ji201027.svg,g1ji201027.pdf,g1ji201027.png
