テーマコード,大テーマ,テーマ
701001,中小企業の役割、位置づけ,各種統計等にみる中小企業
701002,中小企業の役割、位置づけ,産業構造と中小企業
701003,中小企業の役割、位置づけ,大企業と中小企業
701004,中小企業の役割、位置づけ,中小企業性業種
701005,中小企業の役割、位置づけ,地域産業
702001,中小企業の経営特性と経営課題,各種統計にみる中小企業経営の特徴
702002,中小企業の経営特性と経営課題,中小企業経営の特質と課題（経営基盤、経営の多様性、中小企業の経営戦略、先進性と旧態性、経営資源、ビジネスシステム、産業集積、商店街、中小企業の成長　等）
702003,中小企業の経営特性と経営課題,業種・業態別経営特質と課題（製造業、卸売業、小売業、サービス業、物流業、ベンチャー企業、下請企業、小規模企業　等）
702004,中小企業の経営特性と経営課題,中小企業の経営環境と経営革新（経済事情、経営環境の変化、国際化、金融、労働、環境・エネルギー、取引、経営革新への取り組み　等）
702005,中小企業の経営特性と経営課題,中小企業経営に係る最近の動向（情報技術の活用、ネットワーク、産学官連携、海外展開、創業、企業再生、知的財産権　等）
703001,中小企業に関する法規と政策,中小企業関連法規
703002,中小企業に関する法規と政策,中小企業政策の体系と内容（経営サポート、金融サポート、財務サポート、商業・地域サポート、相談・情報提供）
703003,中小企業に関する法規と政策,中小企業支援事業の実施体制と政策
703004,中小企業に関する法規と政策,中小企業新事業活動促進法の体系と政策
703005,中小企業に関する法規と政策,中小企業経営と施策活用
703006,中小企業に関する法規と政策,中小企業政策の役割と変遷
704001,その他中小企業経営・中小企業政策に関する事項,その他中小企業経営・中小企業政策に関する事項
