テーマコード,大テーマ,テーマ
501001,事業の開始,個人の事業開始（個人事業の特徴、開業までの準備）
501002,事業の開始,法人の事業開始（法人の種類、会社の設立と登記、組合の設立と登記）
502001,届出・手続等,許認可・届出が必要な事業
502002,届出・手続等,労働保険・社会保険の届出
502003,届出・手続等,税務上の届出（個人事業の開廃業等届出書、給与支払事業所等の開設届出書、所得税の青色申告の承認申請書、棚卸資産の評価方法・減価償却資産の償却方法　等）
503001,合併等の手続,合併・営業譲渡等の手続、組織変更手続（個人→法人、組合→会社）
504001,倒産等の手続,倒産等に関する法律に基づく手続(会社更生法、民事再生法、会社法（会社の解散、清算、特別清算））
505001,産業財産権（工業所有権）の内容と取得方法,特許権
505002,産業財産権（工業所有権）の内容と取得方法,実用新案権
505003,産業財産権（工業所有権）の内容と取得方法,意匠権
505004,産業財産権（工業所有権）の内容と取得方法,商標権
506001,著作権の内容,著作権等の種類と内容（著作者人格権、著作権、著作隣接権）
506002,著作権の内容,著作権の成立と保護（成立、保護期間、著作権侵害に対する措置）
507001,知的財産権に関する契約等,産業財産権（工業所有権）に関する契約（移転契約、ライセンス契約）
507002,知的財産権に関する契約等,著作権等に関する契約（音楽・キャラクター等のライセンス契約、ソフトウェアのライセンス契約　等）
507003,知的財産権に関する契約等,トレードシークレットに関する知識
508001,契約に関する基礎知識,契約の成立要件（当事者、目的、意思表示）
508002,契約に関する基礎知識,契約の有効要件
508003,契約に関する基礎知識,外国企業との取引に関する法律知識
508004,契約に関する基礎知識,英文契約に関する知識
509001,契約の類型と内容,守秘義務契約
509002,契約の類型と内容,共同研究契約
509003,契約の類型と内容,売買契約（動産売買、貿易契約（CIF、FOB 等）、不動産売買、有価証券売買）
509004,契約の類型と内容,事業提携契約
509005,契約の類型と内容,フランチャイズ契約
509006,契約の類型と内容,事業買収契約
509007,契約の類型と内容,合弁契約
510001,民法,物権
510002,民法,債権
510003,民法,相続
511001,会社法,株式
511002,会社法,会社の機関
511003,会社法,会社の計算
512001,金融商品取引法,金融商品取引法
513001,独占禁止法,独占禁止法
514001,不正競争防止法,不正競争防止法
515001,製造物責任法,製造物責任法
516001,消費者保護法,消費者保護法
517001,トレードシークレット,トレードシークレット
518001,資本市場に関する基礎的知識,市場の種類
518002,資本市場に関する基礎的知識,必要な届出書・通知書等の書式と根拠法
519001,有価証券報告書とディスクロージャー,有価証券報告書の内容と作成
519002,有価証券報告書とディスクロージャー,インベスターズ・リレーション
519003,有価証券報告書とディスクロージャー,社債発行の手続、株式公開手続
520001,その他経営法務に関する事項,その他経営法務に関する事項
