テーマコード,大テーマ,テーマ
601001,情報処理の基礎技術,ハードウェア（コンピュータの機能、コンピュータによる処理、コンピュータの利用）
601002,情報処理の基礎技術,ソフトウェア （ソフトウェアとその種類、オペレーティングシステム、プログラム言語と言語プロセッサ、パッケージ ソフト・ミドルウェア）
601003,情報処理の基礎技術,プログラム設計（アルゴリズム、データ構造、プログラミング技法）
602001,情報処理の形態と関連技術,各種処理形態（バッチ処理、オンライン処理、リアルタイム制御処理、分散処理）
602002,情報処理の形態と関連技術,クライアント・サーバシステム
602003,情報処理の形態と関連技術,対話型処理システム
602004,情報処理の形態と関連技術,マルチメディアシステム
602005,情報処理の形態と関連技術,Web コンピューティング
603001,データベースとファイル,データベースの構造・種類
603002,データベースとファイル,データベースの管理システム
603003,データベースとファイル,ファイルの概念
603004,データベースとファイル,ファイルの編成
604001,通信ネットワーク,通信ネットワークの役割
604002,通信ネットワーク,通信ネットワークの基礎技術
604003,通信ネットワーク,ネットワーク・アーキテクチャ
604004,通信ネットワーク,LAN・VAN
604005,通信ネットワーク,インターネット・イントラネット・エクストラネット
605001,システム性能,システムの性能評価
605002,システム性能,システムの信頼性・経済性
606001,その他情報通信技術に関する基礎的知識に関する事項,その他情報通信技術に関する基礎的知識に関する事項
607001,経営戦略と情報システム,経営戦略と情報化（経営戦略の明確化、経営戦略の策定、e −ビジネス、情報化社会）
607002,経営戦略と情報システム,情報システム の種類と内容（データ支援システム、意思決定支援システム、経営者支援情報システム、戦略情報システム、 情報ネットワークシステム、企業革新と情報システム）
608001,情報システムの開発,システム化の計画とプロセス（システム構想策定、システム分析・設計技法、システム実行計画の作成、 システム設計開発体制の整備）
608002,情報システムの開発,現行システムの分析（業務分析・設計、利用者の要求への対応）
608003,情報システムの開発,全般システム分析・設計（目標定義、概念モデル、組織上の制約データ処理組織の定義、システム設計プロポーザルの作成）
608004,情報システムの開発,システムテスト・導入支援（システムテスト技法、システム導入支援）
609001,情報システムの運用管理,システム運用（利用者の参加・教育、情報専門家の育成・配置、システム運用管理体制、中長期的なシステム改善計画策定、プロジェクト管理）
609002,情報システムの運用管理,セキュリティとリスク管理（機密保護・改ざん防止、不正侵入対策・可用性対策、インテグリティ対策、リスク管理）
610001,情報システムの評価,品質評価
610002,情報システムの評価,価値評価
611001,外部情報システム資源の活用,アウト／インソーシング
612001,情報システムと意思決定,問題分析・意思決定技法
612002,情報システムと意思決定,計量分析技法
613001,その他経営情報管理に関する事項,その他経営情報管理に関する事項
