テーマコード,大テーマ,テーマ
301001,経営計画と経営管理,マネジメント・サイクル
301002,経営計画と経営管理,期間別経営計画
301003,経営計画と経営管理,意思決定の階層構造
301004,経営計画と経営管理,経営管理の原則
301005,経営計画と経営管理,意思決定プロセス
302001,企業戦略,外部環境分析・内部環境分析
302002,企業戦略,事業領域（ドメイン）の決定
302003,企業戦略,階層別戦略（事業戦略、機能戦略）
302004,企業戦略,戦略立案プロセス
302005,企業戦略,組織と戦略（事業部制、カンパニー制、持株会社等）
302006,企業戦略,組織文化と戦略
303001,成長戦略,成長のマネジメント
303002,成長戦略,多角化（シナジー、多角化戦略の分類）
303003,成長戦略,M ＆ A
303004,成長戦略,戦略的提携
304001,経営資源戦略,経営資源
304002,経営資源戦略,PPM（SBU、製品ライフサイクル、経験曲線、市場占有率　等）
305001,競争戦略,業界の競争構造分析
305002,競争戦略,競争回避の戦略
305003,競争戦略,競争優位の戦略（コストリーダーシップ、差別化、集中）
305004,競争戦略,競争地位別戦略（チャレンジャー、リーダー、フォロワー、ニッチャー）
305005,競争戦略,デファクト・スタンダード
305006,競争戦略,コア・コンピタンス
307001,技術経営（MOT）,技術戦略（技術戦略の策定（技術の特徴把握・評価、自社資源の評価、外部資源の活用（共同開発、技術導入　等））、特許戦略）
307002,技術経営（MOT）,研究開発管理（研究開発組織（組織形態、管理者の役割、技術者の人事管理と能力開発）、研究開発計画と開発プロセス、予算管理と特許管理）
307003,技術経営（MOT）,イノベーションのマネジメント
307004,技術経営（MOT）,知識経営（ナレッジ・マネジメント）
308001,国際経営（グローバル戦略）,国際経営（グローバル戦略）
309001,企業の社会的責任（CSR）,企業の社会的責任（CSR）
310001,その他経営戦略論に関する事項,その他経営戦略論に関する事項
311001,経営組織の形態と構造,組織形態（職能制組織、機能別組織、事業部制組織、マトリックス組織）
311002,経営組織の形態と構造,組織の構成原理（コミュニケーション、命令の一元性、分業・専門化と調整、権限と責任）
312001,経営組織の運営,意思決定システム
312002,経営組織の運営,モチベーション（マズローの欲求段階説、ハーズバーグの２要因理論、ヴルームの期待理論）
312003,経営組織の運営,モチベーション管理
312004,経営組織の運営,モラール管理
312005,経営組織の運営,リーダーシップ（特性理論、行動理論、二次元論、状況理論）
312006,経営組織の運営,経営者・管理者行動
312007,経営組織の運営,組織と文化（経営理念、組織風土と組織文化）
312008,経営組織の運営,組織活性化（一体化度、無関心度、組織開発、小集団活動、ナレッジ・マネジメント／組織学習）
312009,経営組織の運営,組織間関係（組織間関係の類型、分析モデル（資源依存、組織正当性、エージェンシー、組織エコロジー）、ネットワーク組織、クラスター）
312010,経営組織の運営,企業統治（コーポレート・ガバナンス）
312011,経営組織の運営,組織のパワーとポリティクス
312012,経営組織の運営,組織変革（チェンジ・マネジメント）
313001,人的資源管理,労働関連法規（労働基準法、労働組合法、労働安全衛生法、労働保険、社会保険、労働者派遣法）
313002,人的資源管理,人事・労務情報（職務分析の意義と方法、人事考課の意義と方法）
313003,人的資源管理,雇用管理（採用、配置、人事異動・昇進、資格制度）
313004,人的資源管理,能力開発（教育訓練・能力開発の種類（階層・目的）、能力開発の方法（OJT、Off − JT、自己啓発）、組織開発の意義と方法）
313005,人的資源管理,賃金管理（賃金体系、基本給類型の体系、職務評価方法）
313006,人的資源管理,作業条件管理（労働時間管理、労働安全管理、労働衛生管理）
313007,人的資源管理,経営戦略と人的資源管理の適合性
314001,その他組織論に関する事項,その他組織論に関する事項
315001,マーケティングの基礎概念,マーケティングの定義
315002,マーケティングの基礎概念,マーケティング・コンセプト
315003,マーケティングの基礎概念,マーケティングの機能
315004,マーケティングの基礎概念,ソーシャルマーケティング
316001,マーケティング計画と市場調査,マーケティング目標設定（目標売上高、目標利益、市場占有率）
316002,マーケティング計画と市場調査,標的市場の設定と接近（市場の分類、総合的市場接近法、市場細分化接近法）
316003,マーケティング計画と市場調査,マーケティング・ミックス（製品ライフサイクル、マーケティング目標と戦略、マーケティング・ミックスの展開）
